supernova_mag_boost supernova_mag_stretch em_syserr inclination_EM log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B timeshift luminosity_distance Ebv log_likelihood log_prior
-3.7988468205234476 4.097146359740304 0.44837169867466814 0.06653982918861256 55.94786695763524 0.265580381061228 2.1930845712805205 2.292926233161927 -3.5558791132140675 -0.6297942821870901 0.0 1981.0 0.0 -34.67119064957022 -11.72709093330704
-2.519272146787702 2.2522691377762354 0.38329064999033224 0.14734682086909853 55.57485223438997 0.25802418990971887 1.0718290306886695 2.041644569005006 -3.1697283393204945 -6.017450141557029 0.0 1981.0 0.0 -34.64485188485959 -11.57026193898659
0.09350537245252166 2.524103305520883 0.387015220887663 0.09628338169084742 55.26207385264797 0.23280740516419954 -4.843924913700225 2.7143781742012933 -0.5520441917027163 -5.13502936053545 0.0 1981.0 0.0 -34.55326209340442 -11.579932383063781
2.199442762261125 3.389798635318238 0.5768538476379563 0.015167763234317358 53.88030080693811 0.19893714442532132 0.5043984467853262 2.186197083130648 -1.787539790513688 -0.14583135508033784 0.0 1981.0 0.0 -34.55077326830435 -11.979057297783399
-2.4661117886764368 4.050745093487321 0.47308690501298656 0.2181180321717645 54.96669181951876 0.25842603583314694 1.5882231077061828 2.383986353788558 -2.2577914946521442 -4.017883998075604 0.0 1981.0 0.0 -34.53903271342912 -11.780747463492222
0.6019516581469775 4.311872940466123 0.2768530401805333 0.02552847881162582 54.93941920429458 0.16397632691943723 -0.028252749633501217 2.081096382197643 -2.8093137752561734 -1.9075425930774355 0.0 1981.0 0.0 -34.49298875551764 -11.244955184884581
-2.9085435988988326 1.8614051314853366 0.5263089303811983 0.3117770830729615 53.0158398821661 0.27256964675089795 -0.23879911844166912 2.7798928567900947 -0.06342139609843667 -2.6480525327179176 0.0 1981.0 0.0 -34.44265721397912 -11.887356720797442
2.6961206812940874 1.346462187876019 0.46639967227008655 0.19181274404146975 56.601844372595465 0.21994362161040293 1.029213150113204 2.3033420827575672 -3.7269578836516235 -3.7727434642344164 0.0 1981.0 0.0 -34.300400906740016 -11.766511292704465
2.663822362251538 0.962439996954749 0.5187965409561577 0.21482636697374957 54.153698592295534 0.26997117660462944 -0.9848455390162938 2.234317499555747 -1.935381548032915 -1.317701226830149 0.0 1981.0 0.0 -34.24843805232287 -11.872980145374726
3.1356061995387314 3.0676675825295665 0.48411057627413046 0.025746856956008195 52.528215075394705 0.14486400194581472 -3.9214487993646268 2.3293199320251805 -0.7290312311239493 -0.3849490477793349 0.0 1981.0 0.0 -34.23469564040431 -11.803781704347497
3.619482436341162 4.416068384649614 0.41031955872390746 0.1578551150058816 56.79605857270272 0.1973921567249547 0.2258884619988919 2.422732410040583 -2.1518427891946397 -8.273578384124534 0.0 1981.0 0.0 -34.20155215763605 -11.638404627984997
1.5985552049405083 0.9052041459536343 0.35152617971017547 0.15976376676916226 52.90782840282345 0.2650795345657556 -2.6676931103833796 2.0793755994349947 -0.8304190336789681 -0.7684019826561066 0.0 1981.0 0.0 -34.138491259246166 -11.483752548797618
-3.386149627357164 4.0582549400686965 0.5437929108800996 0.2359071793836135 54.392293542948266 0.26340261847516955 1.698184688211506 2.4061566137940265 -1.7683269265492458 -2.471754373186908 0.0 1981.0 0.0 -34.133452292394914 -11.920036856198593
1.867191076629883 0.9725509258234128 0.45755174859435627 0.11492595354552397 53.97504574679259 0.14848626640236026 -4.186323646271742 2.299325966509128 -1.5997007246647836 -2.5910785541664128 0.0 1981.0 0.0 -34.083173115956484 -11.747358350348929
2.4008617512942667 2.4894182301779533 0.4242738205667764 0.19921201544188105 56.094440793656396 0.24574151829318844 0.9995399304659589 2.414094521539844 -3.101237219120242 -4.694963849470547 0.0 1981.0 0.0 -34.06935150796406 -11.671847410362666
-0.4638472075568352 0.3658870169552424 0.5864845473134528 0.07074769834658777 53.89131431962004 0.24229979129440044 2.1946754222059575 2.0350146883537477 -1.5024107102323834 -3.398640792329508 0.0 1981.0 0.0 -34.06370076256895 -11.99561468080314
